episode,p1_wins,p2_wins,draws,avg_game_length,epsilon,loss,q_value_mean,rolling_p1_wr,rolling_p2_wr,rolling_draw_wr,rolling_game_length,rolling_loss
64,0,1,0,60,0.8275513922024125,0.0,-0.04158409126102924,44.0,56.00000000000001,0.0,33.48,0.0041766676865518096
65,0,1,0,33,0.8250687380258053,0.037706419825553894,-0.07506401588519414,44.0,56.00000000000001,0.0,33.78,0.004671449642628432
66,1,0,0,43,0.8225935318117279,0.0,-0.04383509775454348,46.0,54.0,0.0,34.4,0.004671449642628432
67,0,1,0,20,0.8201257512162927,0.0,-0.04509213846176863,46.0,54.0,0.0,34.34,0.004671449642628432
68,0,1,0,35,0.8176653739626438,0.0,-0.055318167060613634,46.0,54.0,0.0,34.08,0.004671449642628432
69,1,0,0,35,0.8152123778407558,0.0,-0.05216730013489723,46.0,54.0,0.0,34.26,0.004671449642628432
70,1,0,0,65,0.8127667407072335,0.014521443285048008,-0.036460664868354795,46.0,54.0,0.0,34.1,0.0047333259135484695
71,0,1,0,28,0.8103284404851119,0.0,-0.05505417101085186,46.0,54.0,0.0,33.48,0.0047333259135484695
72,1,0,0,33,0.8078974551636565,0.0,-0.04539389003600393,46.0,54.0,0.0,33.7,0.0047333259135484695
73,1,0,0,26,0.8054737627981655,0.0,-0.056848470121622086,48.0,52.0,0.0,33.82,0.0047333259135484695
74,0,1,0,12,0.803057341509771,0.0,-0.031242397613823414,48.0,52.0,0.0,33.02,0.0047333259135484695
75,0,1,0,49,0.8006481694852418,0.020708192139863968,-0.04159306548535824,48.0,52.0,0.0,33.64,0.004874847661703825
76,0,1,0,24,0.798246224976786,0.0,-0.040036674588918686,48.0,52.0,0.0,33.24,0.004874847661703825
77,1,0,0,6,0.7958514863018556,0.0,-0.04349660500884056,48.0,52.0,0.0,32.8,0.004874847661703825
78,1,0,0,69,0.79346393184295,0.0,-0.03318069775899251,50.0,50.0,0.0,33.72,0.004874847661703825
79,0,1,0,57,0.7910835400474212,0.0,-0.027159014716744423,50.0,50.0,0.0,34.46,0.004874847661703825
80,1,0,0,29,0.7887102894272789,0.029630843549966812,-0.038053923419543674,50.0,50.0,0.0,34.22,0.005092427786439657
81,0,1,0,61,0.7863441585589971,0.0,-0.037460130506328175,48.0,52.0,0.0,35.1,0.005092427786439657
82,0,1,0,35,0.78398512608332,0.0,-0.044487830665376454,46.0,54.0,0.0,35.12,0.005092427786439657
83,1,0,0,28,0.7816331707050701,0.0,-0.029659333328406017,48.0,52.0,0.0,35.16,0.005092427786439657
84,0,1,0,16,0.7792882711929549,0.0,-0.04729617014527321,48.0,52.0,0.0,34.76,0.005092427786439657
85,1,0,0,51,0.776950406379376,0.030719740316271782,-0.046237956484158835,48.0,52.0,0.0,34.36,0.005296226050704718
86,0,1,0,20,0.7746195551602378,0.0,-0.023441077210009098,48.0,52.0,0.0,34.0,0.005296226050704718
87,1,0,0,54,0.7722956964947572,0.0,-0.026094062683674004,48.0,52.0,0.0,34.44,0.005296226050704718
88,0,1,0,24,0.7699788094052729,0.0,-0.02244081161916256,48.0,52.0,0.0,34.12,0.005296226050704718
89,0,1,0,24,0.767668872977057,0.0,-0.023608624190092086,48.0,52.0,0.0,33.82,0.005296226050704718
90,0,1,0,72,0.7653658663581259,0.03458904102444649,-0.04310083742204465,48.0,52.0,0.0,34.72,0.005304161440581084
91,1,0,0,23,0.7630697687590515,0.0,-0.032022874181469284,48.0,52.0,0.0,34.68,0.005304161440581084
92,0,1,0,38,0.7607805594527743,0.0,-0.01725000306032598,48.0,52.0,0.0,34.56,0.005304161440581084
93,0,1,0,18,0.7584982177744161,0.0,-0.040172339975833894,48.0,52.0,0.0,34.28,0.005304161440581084
94,1,0,0,26,0.7562227231210928,0.0,-0.0426060400903225,50.0,50.0,0.0,34.18,0.005304161440581084
95,1,0,0,63,0.7539540549517295,0.011274721473455429,-0.02147632920079761,52.0,48.0,0.0,34.92,0.005188071597367525
96,1,0,0,76,0.7516921927868743,0.0,-0.04210459000684998,52.0,48.0,0.0,35.54,0.005188071597367525
97,1,0,0,33,0.7494371162085136,0.0,-0.03974593472149637,52.0,48.0,0.0,35.56,0.005188071597367525
98,0,1,0,21,0.747188804859888,0.0,-0.019258121294634684,50.0,50.0,0.0,35.2,0.005188071597367525
99,1,0,0,34,0.7449472384453084,0.0,-0.011624208837747573,50.0,50.0,0.0,35.36,0.005188071597367525
100,0,1,0,42,0.7427123967299725,0.02796940691769123,-0.03908140419258012,48.0,52.0,0.0,35.58,0.005274911317974329
101,0,1,0,56,0.7404842595397826,0.0,-0.03435664076138945,46.0,54.0,0.0,36.46,0.005274911317974329
102,1,0,0,44,0.7382628067611632,0.0,-0.033268365181154676,48.0,52.0,0.0,36.38,0.005274911317974329
103,1,0,0,49,0.7360480183408797,0.0,-0.0043881721794605255,48.0,52.0,0.0,36.56,0.005274911317974329
104,1,0,0,44,0.7338398742858571,0.0,-0.029878719310675348,50.0,50.0,0.0,37.16,0.005274911317974329
105,1,0,0,9,0.7316383546629995,0.02735690027475357,-0.0320005239918828,50.0,50.0,0.0,36.5,0.005160799417644739
106,1,0,0,60,0.7294434395990105,0.0,-0.014657472309313323,50.0,50.0,0.0,37.06,0.005160799417644739
107,0,1,0,17,0.7272551092802134,0.0,-0.04418341442942619,50.0,50.0,0.0,36.36,0.005160799417644739
108,1,0,0,56,0.7250733439523728,0.0,-0.015182524422804515,52.0,48.0,0.0,37.06,0.005160799417644739
109,0,1,0,36,0.7228981239205157,0.0,-0.039029221360882126,50.0,50.0,0.0,37.38,0.005160799417644739
110,1,0,0,28,0.7207294295487541,0.024030452594161034,-0.06008214456960559,50.0,50.0,0.0,37.26,0.005170143228024244
111,1,0,0,27,0.7185672412601078,0.0,-0.021803413118634905,52.0,48.0,0.0,37.36,0.005170143228024244
112,1,0,0,47,0.7164115395363275,0.0,-0.009268880177002687,52.0,48.0,0.0,37.58,0.005170143228024244
113,1,0,0,26,0.7142623049177186,0.0,-0.024070215544530323,54.0,46.0,0.0,37.64,0.005170143228024244
114,1,0,0,20,0.7121195180029655,0.0,-0.013279855251312256,56.00000000000001,44.0,0.0,36.84,0.005170143228024244
115,1,0,0,28,0.7099831594489566,0.0053512463346123695,-0.039650574792176485,57.99999999999999,42.0,0.0,36.74,0.004523039758205414
