episode,p1_wins,p2_wins,draws,avg_game_length,epsilon,loss,q_value_mean,rolling_p1_wr,rolling_p2_wr,rolling_draw_wr,rolling_game_length,rolling_loss
111,0,1,0,5,0.5761543988830038,0.0,0.14512760192155838,50.0,50.0,0.0,35.96,0.001437776406528428
112,1,0,0,37,0.5732736268885887,0.0,0.14036665721373123,50.0,50.0,0.0,35.6,0.001437776406528428
113,1,0,0,33,0.5704072587541458,0.0,0.14474414821181977,52.0,48.0,0.0,35.0,0.001437776406528428
114,0,1,0,30,0.567555222460375,0.0,0.14095315635204314,50.0,50.0,0.0,34.5,0.001437776406528428
115,0,1,0,19,0.5647174463480732,0.0,0.14504693022796086,48.0,52.0,0.0,34.04,0.001437776406528428
116,1,0,0,48,0.5618938591163328,0.0,0.1323241963982582,50.0,50.0,0.0,34.42,0.001437776406528428
117,1,0,0,27,0.5590843898207511,0.0,0.15405783653259278,50.0,50.0,0.0,34.08,0.001437776406528428
118,1,0,0,27,0.5562889678716474,0.0,0.1549641423755222,52.0,48.0,0.0,34.26,0.001437776406528428
119,1,0,0,28,0.5535075230322891,0.0,0.15129731446504593,52.0,48.0,0.0,33.84,0.001437776406528428
120,1,0,0,41,0.5507399854171277,0.0002255503786727786,0.139744001130263,54.0,46.0,0.0,34.12,0.0009553659323137254
121,0,1,0,32,0.547986285490042,0.0,0.15031824899571283,52.0,48.0,0.0,33.82,0.0009553659323137254
122,1,0,0,32,0.5452463540625918,0.0,0.14996308758854865,52.0,48.0,0.0,33.9,0.0009553659323137254
123,1,0,0,93,0.5425201222922789,0.0,0.13978905904860722,54.0,46.0,0.0,35.38,0.0009553659323137254
124,0,1,0,22,0.5398075216808175,0.0,0.14426141404188597,54.0,46.0,0.0,35.34,0.0009553659323137254
125,0,1,0,21,0.5371084840724134,0.0,0.13601880768934885,52.0,48.0,0.0,35.38,0.0009553659323137254
126,1,0,0,37,0.5344229416520513,0.0,0.13562669776953185,52.0,48.0,0.0,35.38,0.0009553659323137254
127,1,0,0,26,0.531750826943791,0.0,0.14603491127490997,52.0,48.0,0.0,35.16,0.0009553659323137254
128,1,0,0,16,0.5290920728090721,0.0,0.12897009721824101,52.0,48.0,0.0,34.78,0.0009553659323137254
129,0,1,0,24,0.5264466124450268,0.0,0.13029418438673018,52.0,48.0,0.0,34.5,0.0009553659323137254
130,0,1,0,41,0.5238143793828016,0.06172012537717819,0.13921140506863594,52.0,48.0,0.0,34.78,0.0017130830872338265
131,1,0,0,15,0.5211953074858876,0.0,0.1321335081011057,54.0,46.0,0.0,34.62,0.0017130830872338265
132,0,1,0,22,0.5185893309484582,0.0,0.12915417551994324,54.0,46.0,0.0,34.12,0.0017130830872338265
133,1,0,0,63,0.5159963842937159,0.0,0.13710635838409266,56.00000000000001,44.0,0.0,34.48,0.0017130830872338265
134,1,0,0,43,0.5134164023722473,0.0,0.13916316344624474,56.00000000000001,44.0,0.0,34.78,0.0017130830872338265
135,1,0,0,30,0.510849320360386,0.0,0.14862765418365598,56.00000000000001,44.0,0.0,35.2,0.0017130830872338265
136,1,0,0,10,0.5082950737585841,0.0,0.13269352726638317,57.99999999999999,42.0,0.0,34.66,0.0017130830872338265
137,0,1,0,55,0.5057535983897912,0.0,0.14063779161921863,56.00000000000001,44.0,0.0,34.64,0.0017130830872338265
138,1,0,0,18,0.5032248303978422,0.0,0.1315923174843192,57.99999999999999,42.0,0.0,34.38,0.0017130830872338265
139,0,1,0,35,0.500708706245853,0.0,0.12821937799453736,57.99999999999999,42.0,0.0,34.22,0.0017130830872338265
140,0,1,0,55,0.4982051627146237,0.023284422233700752,0.14052125882534755,57.99999999999999,42.0,0.0,34.32,0.002170272116782144
141,0,1,0,57,0.49571413690105054,0.0,0.15161146788761534,56.00000000000001,44.0,0.0,34.7,0.002170272116782144
142,1,0,0,49,0.4932355662165453,0.0,0.138650019466877,57.99999999999999,42.0,0.0,34.94,0.002170272116782144
143,1,0,0,49,0.4907693883854626,0.0,0.1583373880102521,60.0,40.0,0.0,34.98,0.002170272116782144
144,1,0,0,24,0.4883155414435353,0.0,0.1385573698924138,60.0,40.0,0.0,35.26,0.002170272116782144
145,0,1,0,28,0.4858739637363176,0.0,0.13341171244780223,60.0,40.0,0.0,35.34,0.002170272116782144
146,1,0,0,35,0.483444593917636,0.0,0.1264038274393362,62.0,38.0,0.0,35.74,0.002170272116782144
147,0,1,0,29,0.4810273709480478,0.0,0.14170568830826702,60.0,40.0,0.0,35.82,0.002170272116782144
148,0,1,0,25,0.47862223409330756,0.0,0.13660455896304205,57.99999999999999,42.0,0.0,35.76,0.002170272116782144
149,0,1,0,20,0.47622912292284103,0.0,0.11734663993120194,57.99999999999999,42.0,0.0,35.12,0.002170272116782144
150,0,1,0,35,0.4738479773082268,0.06443576514720917,0.14960420628388724,56.00000000000001,44.0,0.0,35.12,0.003446914607193321
